No.,Food Item,Category,1 Serving Size,Total Weight (g),Protein (g),Fats (g),Carbohydrates (g),Calories (kcal),Breakfast,Snack 1,Lunch,Snack 2,Dinner,User Preference,Source
29,Low-Fat Yogurt,Dairy,1 cup,227.0,11.9,3.5,16.0,143.0,1,0,0,0,0,0.75,Original
30,Low-Fat Vanilla Yogurt,Dairy,1 cup,227.0,11.2,2.8,31.3,193.0,1,0,0,0,0,0.75,Original
31,Low-Fat Strawberry Yogurt,Dairy,1 cup,227.0,9.0,2.6,42.3,224.7,1,0,0,0,0,0.5,Original
32,Fat-Free Yogurt,Dairy,1 cup,227.0,13.0,0.4,17.4,127.1,1,0,0,0,0,0.75,Original
33,Fat-Free Chocolate Yogurt,Dairy,1 cup,227.0,8.0,0.0,53.4,245.2,1,0,0,0,0,0.75,Original
34,Fat-Free Fruit Yogurt,Dairy,1 cup,227.0,10.0,0.5,43.1,215.6,1,0,0,0,0,0.0,Original
35,Labneh (Strained Yogurt),Dairy,1 cup,100.0,12.9,10.8,1.0,154.0,1,0,0,0,0,0.5,Original
36,Omelette,Protein,1 egg,61.0,6.5,7.3,0.4,95.8,1,0,0,0,0,1.0,Original
37,Egg White,Protein,1 egg white,33.0,3.6,0.1,0.2,15.8,1,0,0,0,0,0.5,Original
38,Goose Egg,Protein,1 egg,144.0,20.0,19.1,1.9,266.4,1,0,0,0,0,1.0,Original
39,Turkey Egg,Protein,1 egg,79.0,10.8,9.4,0.9,135.1,1,0,0,0,0,0.0,Original
40,Quail Egg,Protein,1 egg,9.0,1.2,1.0,,14.2,1,0,0,0,0,0.25,Original
41,Duck Egg,Protein,1 egg,70.0,9.0,9.6,1.0,129.5,1,0,0,0,0,0.75,Original
42,Chicken Egg,Protein,1 egg,50.0,6.3,5.0,0.4,71.5,1,0,0,0,0,0.0,Original
43,Dried Egg,Protein,1 tsp,5.0,2.4,2.2,0.1,30.8,1,0,0,0,0,0.75,Original
44,Scrambled Egg with Milk,Protein,1 egg,61.0,6.8,7.4,1.3,101.9,1,0,1,0,0,0.25,Original
45,Boiled Egg,Protein,1 egg,50.0,6.3,5.3,0.6,77.5,1,0,0,0,0,0.25,Original
46,Fried Egg,Protein,1 egg,46.0,6.3,7.0,0.4,90.2,1,0,0,0,0,0.0,Original
47,Egg Yolk,Protein,1 egg yolk,17.0,2.7,4.5,0.6,53.9,1,0,0,0,0,0.25,Original
48,Roasted Duck without Skin,Protein,Palm-sized portion,85.0,20.0,9.5,0.0,170.8,1,0,0,0,1,1.0,Original
49,Roasted Duck with Skin,Protein,Palm-sized portion,85.0,16.1,24.1,0.0,286.4,1,0,0,0,1,0.25,Original
50,Pigeon,Protein,Palm-sized portion,100.0,21.8,3.3,0.0,117.8,0,0,0,0,0,0.75,Original
51,Pigeon without Skin,Protein,Palm-sized portion,85.0,14.9,6.4,0.0,120.7,0,0,0,0,0,0.75,Original
52,Cooked Pigeon,Protein,Palm-sized portion,85.0,20.3,11.0,0.0,186.2,0,0,0,0,0,0.75,Original
53,Fried Pigeon,Protein,Palm-sized portion,100.0,27.8,4.2,0.0,150.0,0,0,0,0,0,0.75,Original
54,Chicken,Protein,Palm-sized portion,85.0,18.2,2.6,0.0,101.2,0,0,0,0,1,1.0,Original
55,Canned Chicken,Protein,1 can,142.0,30.9,11.3,0.0,234.3,0,0,0,0,1,0.5,Original
56,Shrimp,Protein,5-6 pieces,100.0,19.7,0.8,0.0,87.1,0,0,0,0,1,0.0,Original
57,Fried Shrimp,Protein,3-4 medium pieces,85.0,18.17,10.43,9.74,205.71,0,0,1,0,1,0.75,Original
58,Sausage,Protein,1 piece,57.0,6.84,16.25,1.03,179.55,0,0,0,0,0,0.25,Original
59,Canned Salmon,Protein,Palm-sized portion,85.0,17.4,6.21,0.0,130.0,0,0,0,0,0,0.75,Original
60,Cooked Quail,Protein,Palm-sized portion,85.0,21.3,12.0,0.0,198.9,0,0,0,0,1,0.25,Original
61,Red Snapper Fish,Protein,Palm-sized portion,85.0,22.37,1.45,0.0,108.81,0,0,0,0,1,0.25,Original
62,Canned Tuna Fish,Protein,Palm-sized portion,85.0,21.68,0.69,0.0,98.61,0,0,0,0,0,0.75,Original
63,Sheri Fish (Emperor),Protein,Palm-sized portion,100.0,19.7,1.1,0.0,89.8,0,0,0,0,0,1.0,Original
64,Fried Sheri Fish,Protein,Palm-sized portion,100.0,25.9,7.0,0.0,167.0,0,0,0,0,1,0.25,Original
65,Safi Fish (Rabbitfish),Protein,Palm-sized portion,100.0,18.9,7.3,0.1,141.8,0,0,0,0,0,0.25,Original
66,Grilled Safi Fish,Protein,Palm-sized portion,100.0,27.3,4.3,0.0,148.9,0,0,0,0,1,0.75,Original
67,Broasted Chicken Breast,Protein,1/2 small chicken breast,85.0,26.35,3.0,0.0,140.26,1,0,1,0,1,0.25,Original
68,Fried Chicken Breast,Protein,1/2 small chicken breast,85.0,28.42,4.0,0.42,158.94,0,0,1,0,1,0.25,Original
69,Fried Chicken Thigh,Protein,1 medium chicken thigh,85.0,18.5,13.73,7.41,232.0,0,0,1,0,1,0.75,Original
70,Broasted Chicken Thigh,Protein,1 medium chicken thigh,85.0,22.0,11.45,0.0,197.19,1,0,1,0,1,0.75,Original
71,Gargafan Fish (Sea Bream),Protein,Palm-sized portion,100.0,19.9,3.7,0.4,115.0,1,0,0,0,1,0.0,Original
72,Grilled Gargafan Fish,Protein,Palm-sized portion,100.0,22.8,1.8,0.0,108.6,0,0,0,0,1,1.0,Original
73,Chicken Liver,Protein,3 medium pieces,85.0,20.72,4.65,0.75,133.5,0,0,1,0,1,1.0,Original
74,Cooked Meat Liver,Protein,4 medium pieces,85.0,22.73,6.81,6.67,184.45,0,0,0,0,1,0.25,Original
75,Kingfish,Protein,Palm-sized portion,100.0,19.5,9.3,0.0,161.0,0,0,0,0,0,1.0,Original
76,Fried Kingfish,Protein,Palm-sized portion,100.0,26.7,11.9,0.0,213.7,0,0,0,0,1,0.25,Original
77,Boiled Ground Beef,Protein,2 tbsp,85.0,20.45,17.6,0.0,245.65,1,0,0,0,1,0.0,Original
78,Fried Ground Beef,Protein,2 tbsp,85.0,20.33,19.2,0.0,260.0,0,0,0,0,1,0.75,Original
79,Cooked Veal,Protein,3 small pieces,85.0,23.99,8.0,0.0,175.0,0,0,0,0,1,0.75,Original
80,Meed Fish (Silver Biddy),Protein,Palm-sized portion,100.0,18.3,16.1,0.0,216.7,0,0,0,0,0,0.75,Original
81,Grilled Meed Fish,Protein,Palm-sized portion,100.0,24.2,10.5,0.0,191.2,0,0,1,0,1,1.0,Original
82,Hamour Fish (Grouper),Protein,Palm-sized portion,100.0,19.3,3.4,0.2,109.3,0,0,0,0,0,0.0,Original
83,Hamour with Rice,Protein,1/2 cup,100.0,27.3,3.2,0.0,139.2,0,0,0,0,1,1.0,Original
84,Yanam Fish (Seerfish/Mackerel),Protein,Palm-sized portion,100.0,17.9,10.4,0.0,164.7,0,0,0,0,0,1.0,Original
85,Grilled Yanam Fish,Protein,Palm-sized portion,100.0,25.9,5.6,0.0,154.8,0,0,0,0,1,0.0,Original
86,Rice (cooked),Grains,1 cup,158.0,4.25,0.44,44.51,205.4,1,1,0,1,0,0.0,Original
87,Baksim (hard biscuit/rusk),Grains,1 piece,10.0,1.2,0.95,6.84,41.2,1,1,0,1,0,0.0,Original
88,Cheese Biscuit,Grains,1 piece,1.0,0.1,0.25,0.58,5.03,1,1,1,1,0,0.0,Original
89,Wheat Biscuit,Grains,1 piece,2.0,0.17,0.41,1.3,9.46,1,1,1,1,0,0.75,Original
90,Salted Cracker/Biscuit,Grains,1 piece,3.0,0.22,0.76,1.83,15.06,1,1,0,1,0,0.5,Original
91,Bread Crumbs,Grains,1 cup,108.0,14.4,5.7,77.7,426.6,1,1,0,1,0,0.5,Original
92,Corn Flakes,Grains,1 cup,166.0,15.6,7.9,123.3,605.9,1,1,0,1,0,0.0,Original
93,Wheat Grains/Berries,Grains,1 cup,192.0,,,,0.0,1,1,0,1,0,0.5,Original
94,White Bread,Grains,1/4 loaf,25.0,1.9,0.8,12.7,66.5,1,1,0,1,0,0.5,Original
95,Toasted White Bread,Grains,1/4 loaf,22.0,2.0,0.9,12.0,64.5,1,1,1,1,0,0.0,Original
96,Brown Bread,Grains,1/4 loaf,28.0,3.6,0.9,11.6,69.2,1,1,0,1,0,0.5,Original
97,Oatmeal Bread,Grains,1 small slice,27.0,2.3,1.2,13.1,72.6,1,1,0,1,0,1.0,Original
98,Oatmeal Bread with Bran,Grains,1 small slice,30.0,3.1,1.3,11.9,70.8,1,1,1,1,0,0.25,Original
99,Cheese Bread,Grains,1 piece,66.0,4.69,12.08,28.84,237.6,1,1,1,1,0,0.25,Original
100,Bran Bread,Grains,1/4 loaf,36.0,3.2,1.2,17.2,89.3,1,1,0,1,0,0.0,Original
101,White Bread Roll,Grains,1 medium roll,28.0,,,,0.0,1,1,1,1,0,0.75,Original
102,Brown Bread Roll,Grains,1 medium roll,36.0,,,,0.0,1,1,1,1,0,0.0,Original
103,Burger Bun,Grains,1 bun,43.0,4.1,1.9,21.3,120.0,0,1,1,1,0,0.75,Original
104,French Bread (Baguette),Grains,1 small slice,32.0,3.8,0.6,18.1,92.5,1,1,0,1,0,0.25,Original
105,Oatmeal Flour,Grains,2 tbsp,28.0,3.6,1.8,18.9,105.0,1,1,0,1,0,0.0,Original
106,Cooked Oatmeal,Grains,1 cup,234.0,5.5,3.2,27.3,159.1,1,1,0,1,0,1.0,Original
107,Sweetened Corn Flakes,Grains,1 cup,38.0,2.014,0.532,34.24,148.58,1,1,0,1,0,0.5,Original
108,Plain Corn Flakes,Grains,1 cup,28.0,1.84,0.199,24.22,102.2,1,1,0,1,0,0.75,Original
109,White Sugar,Grains,1 tsp,4.0,0.0,0.0,3.99,15.48,1,1,0,1,0,0.5,Original
110,Brown Sugar,Grains,1 tsp,3.0,0.0,0.0,2.92,11.28,1,1,0,1,0,0.5,Original
111,Quaker Oats,Grains,2.5 tbsp,40.0,6.8,3.2,25.2,145.6,1,1,0,1,0,0.0,Original
112,Quaker Oats prepared with water,Grains,1 cup,234.0,4.8,2.2,17.5,100.6,1,1,0,1,0,0.5,Original
113,Cooked Oats,Grains,1 cup,219.0,7.0,1.9,25.1,87.6,1,1,0,1,0,1.0,Original
114,White Flour,Grains,1 cup,125.0,12.19,1.23,95.39,455.0,1,0,0,0,0,0.5,Original
115,Corn Flour,Grains,1 cup,114.0,0.0,0.2,,0.0,0,0,0,0,0,0.0,Original
116,White Rice Flour,Grains,1 cup,158.0,9.4,2.2,126.6,578.3,1,1,0,1,0,1.0,Original
117,Brown Rice Flour,Grains,1 cup,158.0,11.4,4.4,120.8,573.5,1,1,0,1,0,0.25,Original
118,Brown Wheat Flour,Grains,1 cup,120.0,16.4,2.2,87.1,406.8,1,1,0,1,0,0.5,Original
119,Honey,Grains,1 tbsp,21.0,0.06,0.0,17.3,63.84,0,1,0,1,0,0.0,Original
120,Toast Cubes,Grains,1 cup,30.0,3.6,2.0,22.0,122.1,1,1,0,1,0,0.25,Original
121,Cheese Croissant,Grains,1 medium piece,57.0,5.24,11.91,26.79,235.98,1,1,1,1,0,0.25,Original
122,Butter Croissant,Grains,1 medium piece,57.0,4.67,11.97,26.11,231.42,1,1,0,1,0,0.75,Original
123,Plain Cake (Muffin),Grains,1 large size,65.0,4.49,7.41,26.91,192.4,1,1,0,1,0,1.0,Original
124,Quinoa,Grains,1 cup,170.0,24.0,10.3,109.1,625.6,1,1,0,1,0,0.5,Original
125,Cooked Pasta,Grains,1 cup,140.0,6.68,0.94,39.68,197.4,0,0,0,0,1,0.0,Original
126,Corn Bran,Grains,1 cup,76.0,6.4,0.7,65.1,170.2,1,1,0,1,0,0.75,Original
127,Rice Bran,Grains,1 cup,118.0,15.8,24.6,58.6,372.9,1,1,0,1,0,1.0,Original
128,Wheat Bran,Grains,1 cup,58.0,9.0,2.5,37.4,125.3,1,1,0,1,0,0.75,Original
129,Cooked Noodles,Grains,1 cup,160.0,7.6,2.35,39.74,212.8,0,1,1,1,1,1.0,Original
130,Avocado,Fruits,1 cup (sliced),146.0,2.9,21.4,12.5,233.6,0,1,0,1,1,1.0,Original
131,Pineapple,Fruits,1 cup (chunks),155.0,0.8,0.2,20.3,77.5,0,1,0,1,1,0.5,Original
132,Orange,Fruits,1 medium one,131.0,1.2,0.2,15.4,61.6,0,1,0,1,1,1.0,Original
133,Dates,Fruits,4 pieces,32.0,0.8,0.1,24.0,90.2,0,1,0,1,1,0.75,Original
134,Blueberries,Fruits,1 cup,145.0,1.1,0.5,21.0,82.6,0,1,0,1,1,1.0,Original
135,Blackberries,Fruits,1 cup,144.0,2.0,0.7,13.8,61.9,0,1,0,1,1,0.5,Original
136,Cranberries,Fruits,1 cup,95.0,0.4,0.1,11.6,43.7,0,1,0,1,1,0.5,Original
137,Figs,Fruits,1 medium one,50.0,0.4,0.2,9.6,37.0,0,1,0,1,1,0.75,Original
138,Peach,Fruits,1 medium one,150.0,1.4,0.4,14.3,58.5,0,1,0,1,1,0.25,Original
139,Dried Plums (Prunes),Fruits,1 cup (halves),160.0,5.8,1.2,98.1,382.4,0,1,0,1,1,0.25,Original
140,Cantaloupe,Fruits,1 cup (chunks),177.0,1.5,0.3,14.4,60.2,0,1,0,1,1,1.0,Original
141,Sour Cherries,Fruits,1 cup,103.0,1.0,0.3,12.5,51.5,0,1,0,1,1,0.0,Original
142,Sweet Cherries,Fruits,1 cup,117.0,1.2,0.2,18.7,73.7,0,1,0,1,1,1.0,Original
143,Papaya,Fruits,1 medium one,304.0,1.9,0.4,29.8,118.6,0,1,0,1,1,0.75,Original
144,Apple,Fruits,1 medium one,138.0,0.4,0.2,19.1,71.8,0,1,0,1,1,0.75,Original
145,Dried Apple,Fruits,1 slice,98.0,0.9,0.3,64.6,238.1,0,1,0,1,1,0.75,Original
146,Tamarind,Fruits,1 cup,120.0,3.4,0.7,75.0,286.8,0,1,0,1,1,0.75,Original
147,Mulberries,Fruits,1 cup,123.0,1.5,0.8,14.7,64.0,0,1,0,1,1,0.75,Original
148,Grapefruit,Fruits,1/2 medium one,118.0,0.7,0.1,9.5,37.8,0,1,0,1,1,0.5,Original
149,Guava,Fruits,1 medium one,90.0,2.3,0.9,12.9,61.2,0,1,0,1,1,0.25,Original
150,Banana Chips,Fruits,2 tbsp,28.0,0.6,9.4,16.4,145.3,0,1,0,1,1,0.75,Original
151,Ghoj (Maybe Plum/Gojiberry),Fruits,1 medium one,66.0,0.5,0.2,7.5,30.4,0,1,0,1,1,0.0,Original
152,Strawberry,Fruits,1 cup,144.0,1.0,0.4,11.1,46.1,0,1,0,1,1,0.0,Original
153,Orange Peel,Fruits,1 tsp,6.0,0.1,,1.5,5.8,0,1,0,1,1,0.0,Original
154,Lemon Peel,Fruits,1 tsp,6.0,0.1,,1.0,2.8,0,1,0,1,1,0.0,Original
155,Pear,Fruits,1 medium one,166.0,0.6,0.2,25.7,96.3,0,1,0,1,1,0.5,Original
156,Dried Pear,Fruits,10 halves,175.0,3.3,1.1,122.0,458.5,0,1,0,1,1,0.0,Original
157,Kiwi,Fruits,1 medium one,76.0,0.9,0.4,11.1,46.4,0,1,0,1,1,0.75,Original
158,Lemon,Fruits,1 medium one,58.0,0.6,0.2,5.4,16.8,0,1,0,1,1,1.0,Original
159,Mango,Fruits,1 medium one,207.0,1.1,0.6,35.2,134.6,0,1,0,1,1,0.0,Original
160,Apricot,Fruits,3 pieces,105.0,1.5,0.4,11.7,50.4,0,1,0,1,1,0.5,Original
161,Dried Apricot,Fruits,1 cup (halves),65.0,2.2,0.3,40.7,156.6,0,1,0,1,1,0.5,Original
162,Banana,Fruits,1 medium one,118.0,1.3,0.4,27.0,105.0,0,1,0,1,1,0.0,Original
163,Nectarine,Fruits,1 medium one,136.0,1.4,0.4,14.3,59.8,0,1,0,1,1,1.0,Original
164,Green Peas,Vegetables,1 cup,160.0,8.6,0.4,25.0,134.4,1,0,0,0,0,0.0,Original
165,Sweet Potato,Vegetables,1 medium one,130.0,2.0,0.1,26.2,111.8,1,0,0,0,1,0.5,Original
166,Parsley,Vegetables,10 sprigs,10.0,0.3,0.1,0.6,3.6,0,0,0,0,0,0.25,Original
167,Lupin Beans,Vegetables,1 cup,166.0,25.8,4.8,16.4,197.5,1,0,1,0,1,0.75,Original
168,Arugula (Rocket),Vegetables,1 cup,34.0,0.8,,0.4,3.7,0,0,0,0,0,0.5,Original
169,Purslane,Vegetables,1 cup,43.0,0.6,,1.5,6.9,0,0,0,0,0,0.0,Original
170,Spinach,Vegetables,1 cup,30.0,0.9,0.1,1.1,6.9,1,0,0,0,0,0.75,Original
171,Black Beans,Vegetables,1 cup,164.0,14.5,4.2,45.0,269.0,1,0,0,0,0,0.0,Original
172,Beans (General),Vegetables,1 cup,177.0,15.3,0.9,40.4,224.8,0,0,0,0,0,0.0,Original
173,Green Beans,Vegetables,1 cup,110.0,2.0,0.1,7.8,34.1,1,0,0,0,1,0.25,Original
174,Red Radish,Vegetables,Sliced (1/2 cup),58.0,0.4,0.1,2.0,9.3,0,0,0,0,0,0.75,Original
175,Cauliflower,Vegetables,1 cup,100.0,2.0,0.1,5.3,25.0,0,0,0,0,1,0.75,Original
176,Leek (Greens),Vegetables,4 tsp,40.0,1.0,,6.7,28.8,1,0,0,0,0,0.25,Original
177,Coriander (Cilantro),Vegetables,9 sprigs,20.0,0.4,0.1,0.7,4.6,0,0,0,0,0,0.5,Original
178,Turnip,Vegetables,1 cup sliced,67.0,2.2,0.5,6.7,33.5,0,0,0,0,0,0.0,Original
179,Eggplant (Aubergine),Vegetables,1/2 cup,82.0,0.84,0.15,4.98,21.32,1,0,1,0,1,1.0,Original
180,Frozen Peas,Vegetables,1 cup,63.0,1.8,0.1,4.8,26.5,1,0,0,0,0,0.0,Original
181,Okra,Vegetables,1 cup,100.0,2.0,0.1,7.0,31.0,0,0,0,0,0,0.0,Original
182,Broccoli,Vegetables,1 cup,91.0,2.6,0.3,6.0,30.9,0,0,0,0,0,0.5,Original
183,Onion,Vegetables,1 cup (chopped),160.0,1.8,0.2,14.9,64.0,0,0,0,0,0,0.0,Original
184,Potato,Vegetables,1 medium one,213.0,4.3,0.2,37.2,164.0,0,0,0,0,0,0.25,Original
185,Boobar,Vegetables,1 cup,33.0,0.3,,1.1,5.0,0,0,0,0,0,0.25,Original
186,Tabbouleh,Vegetables,2 tbsp,28.35,1.0,2.0,2.0,30.0,0,0,0,0,1,0.75,Original
187,Garlic,Vegetables,3 cloves,9.0,0.6,,3.0,13.4,0,0,0,0,0,1.0,Original
188,Carrot,Vegetables,1 one,72.0,0.7,0.2,6.9,29.5,0,0,0,0,0,0.0,Original
189,Baby Carrot,Vegetables,1 medium one,10.0,0.1,,0.8,3.5,0,0,0,0,0,0.0,Original
190,Chickpeas (Hummus),Vegetables,1 tbsp,14.0,1.1,1.3,2.0,23.2,1,0,0,0,0,0.5,Original
191,Cucumber,Vegetables,1 large piece,301.0,2.0,0.3,10.9,45.2,0,0,0,0,0,0.25,Original
192,Sour Pickled Cucumber,Vegetables,1 slice,7.0,0.02,0.01,0.16,0.77,0,0,0,0,0,1.0,Original
193,Fresh Corn,Vegetables,1/2 cup,140.0,3.68,1.02,39.07,176.4,1,0,0,0,0,0.75,Original
194,Sweet Canned Corn,Vegetables,1 cup,164.0,4.3,1.64,30.49,132.84,0,0,0,0,0,0.25,Original
195,Canned Olive,Vegetables,1 piece,8.3,0.08,0.57,0.47,6.72,0,0,0,0,0,0.75,Original
196,Vegetable Salad,Vegetables,1 cup,100.0,0.93,1.86,4.51,39.59,0,0,1,0,0,0.5,Original
197,Beetroot,Vegetables,Sliced (1/2 cup),68.0,1.1,0.1,6.5,29.2,0,0,0,0,0,0.5,Original
198,Ta'ameya (Falafel),Vegetables,1 piece,17.0,2.3,3.0,5.4,56.6,1,0,0,0,0,0.0,Original
199,Tomato,Vegetables,1 medium one,123.0,1.1,0.2,4.8,22.1,0,0,0,0,0,1.0,Original
200,Lentils,Vegetables,1 cup,198.0,17.9,0.8,39.9,229.7,0,0,0,0,0,0.75,Original
201,White Beans,Vegetables,1 cup,179.0,17.4,0.6,44.9,248.8,1,0,0,0,1,0.25,Original
202,Yellow Beans,Vegetables,1 cup,177.0,16.2,1.9,44.7,254.9,1,0,0,0,0,0.5,Original
203,Red Hot Pepper,Vegetables,1 piece,45.0,0.8,0.2,4.0,18.0,0,0,0,0,0,0.0,Original
204,Green Hot Pepper,Vegetables,1 piece,45.0,0.9,0.1,4.3,18.0,0,0,0,0,0,0.0,Original
205,Soybean,Vegetables,1 cup,172.0,28.6,15.4,17.1,297.6,1,0,0,0,0,0.75,Original
206,Taro,Vegetables,1 cup,104.0,1.6,0.2,27.5,116.5,0,0,0,0,0,0.5,Original
207,Leek (Greens),Vegetables,1 bunch (1 cup),89.0,1.3,0.3,12.6,54.3,1,0,0,0,0,1.0,Original
208,Celery,Vegetables,1 medium stalk,40.0,0.3,0.1,1.2,6.4,0,0,0,0,0,0.5,Original
209,Mushroom,Vegetables,Sliced (1 cup),70.0,2.2,0.2,2.3,15.4,0,0,0,0,0,0.75,Original
210,Tomato Paste,Vegetables,168 grams (1 can),170.0,7.3,0.8,32.1,139.4,0,0,0,0,0,0.75,Original
211,Asparagus,Vegetables,1 cup,134.0,2.9,0.2,5.2,26.8,0,0,0,0,1,0.5,Original
212,Grape Leaves,Vegetables,1 cup,14.0,0.8,0.3,2.4,13.0,0,0,0,0,0,0.75,Original
213,Margarine (Unsalted),Fats and Oils,1 tsp,4.7,0.02,3.77,0.02,33.56,1,0,0,0,0,0.5,Original
214,Margarine (Salted),Fats and Oils,1 tsp,4.7,0.04,3.78,0.04,33.78,0,0,0,0,0,0.25,Original
215,Corn Oil,Fats and Oils,1 tsp,13.64,0.0,13.64,0.0,120.55,0,0,0,0,0,0.5,Original
216,Olive Oil,Fats and Oils,1 tsp,13.51,0.0,13.51,0.0,119.44,0,0,0,0,0,0.5,Original
217,Palm Oil,Fats and Oils,1 tsp,13.64,0.0,13.64,0.0,120.55,0,0,0,0,0,0.75,Original
218,Sunflower Oil,Fats and Oils,1 tsp,13.64,0.0,13.64,0.0,120.55,0,0,0,0,0,0.75,Original
219,Mayonnaise,Fats and Oils,1 tsp,14.7,0.13,4.91,3.51,57.29,0,0,0,0,0,0.0,Original
220,Orange,Fruits,1 medium one,127.76,1.19,0.2,15.65,70.99,0,1,0,1,1,0.25,Duplicate
221,Low-Fat Vanilla Yogurt,Dairy,1 cup,226.96,11.36,2.82,31.42,198.11,1,0,0,0,0,0.25,Duplicate
222,Fried Pigeon,Protein,Palm-sized portion,101.03,27.86,4.09,0.0,148.6,0,0,0,0,0,0.75,Duplicate
223,Hard Goat Milk Cheese,Dairy,2 tbsp,27.74,8.43,9.71,0.6,124.2,1,0,0,0,0,1.0,Duplicate
224,Tabbouleh,Vegetables,2 tbsp,28.04,1.02,1.98,1.96,28.25,0,0,0,0,1,0.25,Duplicate
225,Brown Bread Roll,Grains,1 medium roll,36.08,0.0,0.0,0.0,0.16,1,1,1,1,0,0.25,Duplicate
226,Leek (Greens),Vegetables,1 bunch (1 cup),87.15,1.33,0.3,12.3,55.24,1,0,0,0,0,0.25,Duplicate
227,Canned Chicken,Protein,1 can,143.65,30.29,11.4,0.0,225.55,0,0,0,0,1,1.0,Duplicate
228,Tomato Paste,Vegetables,168 grams (1 can),167.27,7.13,0.79,32.54,165.02,0,0,0,0,0,1.0,Duplicate
229,Cooked Veal,Protein,3 small pieces,86.64,24.07,8.22,0.0,169.42,0,0,0,0,1,0.75,Duplicate
230,Feta Cheese,Dairy,2 tbsp,27.49,3.89,5.94,1.09,72.74,0,0,0,0,0,0.75,Duplicate
231,Apricot,Fruits,3 pieces,106.39,1.46,0.4,11.52,56.53,0,1,0,1,1,0.25,Duplicate
232,Pigeon without Skin,Protein,Palm-sized portion,85.88,15.06,6.27,0.0,117.83,0,0,0,0,0,0.25,Duplicate
233,Yogurt,Dairy,1/3 cup,98.33,3.27,2.59,5.43,59.08,1,0,0,0,0,0.25,Duplicate
